Club,League Position,Final Points,Goals Scored,Goals Conceded,Wage Cost £m,Revenue £m,Wage to Revenue Ratio,Log Revenue,Log Wage Cost
Manchester City,1,91,96,34,412.573,719.474,57.343698312934166,6.578520389468796,6.022413159814415
Arsenal,2,89,91,29,327.822,612.759,53.49933660705106,6.417971710182853,5.792470778151639
Liverpool,3,82,86,41,386.086,613.764,62.904634354572764,6.419610489439204,5.956060142576519
Aston Villa,4,68,76,61,252.049,272.242,92.5827021547006,5.606691376624672,5.529623513053997
Tottenham Hotspur,5,66,74,61,222.015,517.763,42.87965729493996,6.249517608603645,5.402744947157261
Chelsea,6,63,77,63,338.021,468.486,72.15178255059917,6.149506218627927,5.823108023730534
Newcastle United,7,60,85,62,218.738,320.313,68.28882998816782,5.769298642741219,5.387874666590158
Manchester United,8,60,57,58,364.719,661.755,55.11390167055783,6.494895396802127,5.899127194072078
West Ham United,9,52,60,74,160.969,271.246,59.344285261349484,5.603026158202159,5.081211799861139
Crystal Palace,10,49,57,58,133.712,189.224,70.6633408024352,5.242931498467302,4.89568823325908
Brighton & Hove Albion,11,48,55,62,146.221,222.549,65.70283398262853,5.4051473020794925,4.985119175851495
AFC Bournemouth,12,48,54,67,136.17,161.36,84.38894397620227,5.083637893645957,4.913904105136484
Fulham,13,47,55,61,154.754,180.686,85.64803028458209,5.196760718116371,5.041836759372813
Wolverhampton Wanderers,14,46,50,65,141.925,177.697,79.86910302368639,5.180079852632053,4.95529874905679
Everton,15,40,40,51,156.631,186.902,83.8038116232036,5.23058441531384,5.053892720543152
Brentford,16,39,56,65,114.371,168.706,67.79308382630138,5.1281575550131215,4.739447550306531
Nottingham Forest,17,32,49,67,166.953,174.412,95.72334472398688,5.161420316447212,5.117712335680147
Luton Town,18,26,52,85,56.881,132.332,42.98355650938549,4.8853139164015715,4.040961366212455
Burnley,19,24,41,78,93.42,134.369,69.52496483563917,4.900589746722244,4.537105455073962
Sheffield United,20,16,35,104,64.796,138.217,46.879906234399535,4.92882491389869,4.171243873057891
